ban1,ban2,ban3,ban4,paddy
1072,1034,669,2525,1
1064,1048,682,2553,1
1077,1032,682,2448,1
1077,1032,682,2448,1
1069,1016,651,2331,1
1068,1052,668,2315,1
1080,1064,661,2265,1
1082,1054,669,2182,1
1078,1025,670,1949,1
1077,1020,666,1872,1
1067,1035,657,2115,1
1073,1051,641,2348,1
1073,1051,641,2348,1
1065,1052,625,2545,1
1065,1031,618,2610,1
1062,1014,650,2814,1
1071,1036,636,2782,1
1079,1036,643,2709,1
1079,1036,643,2709,1
1080,1047,675,2813,1
1107,1074,713,2957,1
1079,1045,673,2896,1
1063,1054,649,2891,1
1085,1065,650,2971,1
1093,1062,672,2929,1
1078,1054,672,2824,1
1064,1050,660,2898,1
1082,1048,700,3139,1
1082,1048,700,3139,1
1048,1057,620,3254,1
1063,1041,629,3060,1
1060,1058,645,3065,1
1098,1079,699,2903,1
1098,1045,697,2656,1
1084,1034,677,2657,1
1075,1052,663,2651,1
1077,1049,683,2654,1
1095,1046,700,2597,1
1095,1046,700,2597,1
1091,1042,678,2527,1
1092,1054,730,2607,1
1080,1051,674,2379,1
1084,1055,662,2334,1
1069,1051,654,2167,1
1091,1039,656,2083,1
1074,1024,661,1970,1
1075,1039,663,2038,1
1068,1040,645,2143,1
1068,1040,645,2143,1
1049,1026,633,2225,1
1083,1027,642,2792,1
1063,1026,637,2805,1
1067,1037,657,2698,1
1067,1037,657,2698,1
1074,1039,654,2787,1
1096,1064,691,2878,1
1061,1038,651,3046,1
1070,1043,656,2964,1
1071,1055,661,2989,1
1061,1056,667,2974,1
1076,1060,662,2877,1
1070,1060,671,2913,1
1076,1060,681,3049,1
1076,1060,681,3049,1
1077,1060,652,3146,1
1069,1043,656,2924,1
1066,1064,649,3031,1
1101,1078,712,2899,1
1085,1062,701,2755,1
1068,1046,669,2741,1
1067,1035,662,2814,1
1078,1041,665,2840,1
1096,1052,695,2729,1
1096,1052,695,2729,1
1082,1040,676,2664,1
1077,1036,709,2582,1
1075,1044,657,2275,1
1076,1052,658,2176,1
1076,1052,664,2156,1
1053,1034,665,2046,1
1075,1027,667,2013,1
1070,1023,650,2094,1
1065,1027,656,2750,1
1052,1040,641,2808,1
1054,1044,658,2764,1
1054,1044,658,2764,1
1079,1036,650,2706,1
1085,1037,667,2759,1
1075,1043,669,3074,1
1059,1040,636,3065,1
1069,1053,657,3041,1
1080,1067,658,3011,1
1093,1083,659,2930,1
1084,1066,675,2880,1
1087,1068,690,2938,1
1087,1068,690,2938,1
1085,1057,678,3118,1
1079,1052,669,2957,1
1068,1053,639,3026,1
